example_id,text,label
140d03eabb7cb5c2558605eb8336689c,brandpost best of both worlds hybrid onsite and cloudbased ddos protection $url$,0
f7f1f906c9e2b76e63020f8794516185,$mention$ they shall in all cases except treason felony and breach of the peace be privileged from arrest during,0
39f0b2ebc12e008a7a43ec318d0c3874,lifelock offers to protect you from the equifax breach by selling you services provided by equifax oott hackhttpurl,0
ad4e57c69f00548253cb6d47b15c3ce4,skimmer adware spent two months in google play checkpoint researchers spotted malware dubbed skimmer in $url$,1
236bfe8f2f145dbcf17be122546946db,just want to love and be loved,0
f9f0419dd6ec37b9f72a8a8292a37d0b,cyber attack on barts nhs trust eloited zeroday vulnerability $url$,1
3e23b538a07b92f2e27b6964dd30242b,docusigns customer email database accessed by hackers after phishing scam $url$,1
991a2ba0398b4b4bc63201141a401207,ddos real threat that big data can help combat computerworld $url$,1
ee2971e296b39717c23e070ef08f64b3,cyberattack glossary thaw are malware phassachate and worms $url$,0
a1c2ec94210674309d9896540f6894c8,malware is not going away trust your network security to the solutions from $mention$ learn more $url$ infosec,0
5025adba95c01e6fa8879b7bd137965a,New Mac #malware on the loose: What you need to know $URL$ via @$URL$,1
f0c244f5c81f16ee0528865ebae6506b,fbi investigating reported data breach affecting georgia election system $url$ $mention$,1
66f6abe90e9f9b5a243ee530d7b9908b,great article on phishing what it is how to avoid it what to do if you click bad link $mention$ mentionurl10,0
3f381f1ff36c0f589362d8635ec08ada,the equifax breach is every day $url$,0
70faa74078c091f25854054e38ae3fa4,here s what it costs to freeze your credit after equifax breach $url$,0
7a8a0ce97271d502323a0b4a37d567d4,brianhonan beware scammers phishing for disaster charity or anything else $url$ cybersecurity,1
467ab3478b0c13fec01f137526d6404a,$mention$ fucking ddos are you in,0
982b41759ffe22a31bfa8eadf488d207,nexus critical vulnerability discovered and resolved $url$ tech news,1
889a85906e4e9ab738bf3bc9637fc703,the register coppers persistently breach data protection laws with police tech $url$,1
3319dfdbe36496ba1e6a4cd0613bec9c,our industrial relations laws are in breach of the ilo and un conventions $mention$ imwithsally npc auspol,0
b6d6d522d48877a3654b167840a68866,cve20178519 internet elorer memory corruption vulnerability security vulnerability $url$,1
099dc8faed2cfc5186b6d8d27668561c,are you happy to have branson s virgin care rather than the nhs the jeremy corbyn effect $url$ dpa 1998 breach urlc2,0
9456c37196f94aec7b9cc03fba1fe652,crowdsourcethetruth hudson report august 24 2017 clearandpresentdanger awangate nationalsecurity breach $url$,0
5f1ce5202ddc86e6ef8116cef77b6c5e,new iot botnet infecting internet connected cameras malware vulnerability hacking hijack ip securityhttpurl,1
379d3da3225b9c04d90bb3195e569160,fireeye obfuscated string solver auto extract obfuscated strings from malware urlc malware deobfuscating $url$,0
618cb5ca2fb3f89b48f63578e740eb50,how the equifax data breach happened what we know nowequifax first learned about the vulnerability two months be $url$,0
fa587a58cccbe77be53f77429edc9bec,had he performed would nt that have made it breach of contract are nt there consequences for that,0
6d154c37555c3e1db5c8f03ee14c23ea,trendlabs new gnatspy mobile malware family discovered $url$,1
dc1ffbac828247b25ad1d0d8549bf67e,jagex supports ddosing and abuse of moderator power as long as their jmod s clan wins,0
63e53d1e5900007eb310f7ddd794723f,ilustrator juga butuh bobo aku lemah lumales $url$,0
